subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,-6709.8381804331175,-6709.315128700117,-6709.514859707383,-6709.204606784418
sub02,-6882.384832993289,-6882.047852769811,-6882.37436694634,-6881.878280290726
sub04,-6947.9771250026415,-6947.406759560329,-6948.170222342278,-6947.439092476818
sub13,-6888.19533289825,-6887.390271658032,-6886.685335105061,-6886.657523969367
sub14,-6884.223650182028,-6884.217001926186,-6884.159565697967,-6884.213687255382
sub15,-7536.580891590922,-7535.884573355195,-7535.317146169408,-7532.556088246986
sub16,-7262.3539982500515,-7260.409366444605,-7261.889070882508,-7260.460813425287
sub33,-7249.447845690655,-7248.596870030542,-7249.263326933533,-7248.242493294158
sub34,-7153.080937518957,-7152.95823188021,-7153.073763083212,-7151.900063480644
sub35,-7344.772724357675,-7344.7172483780705,-7343.826210896507,-7343.788478410756
sub36,-8249.198698001155,-8248.989281706306,-8247.60097399389,-8245.900771231056
sub37,-7041.4686551687255,-7041.0114258422545,-7040.740329687625,-7038.612233309937
sub38,-6865.547723292797,-6865.5463470443565,-6864.642731381806,-6865.424826536824
sub39,-7219.52208812269,-7219.5138985778885,-7218.839011358281,-7219.455530319688
sub40,-6870.873924988986,-6870.613934917954,-6869.834006048816,-6869.194353153672
sub09,-7080.766351517997,-7080.717001255377,-7079.730211227005,-7079.245303271297
sub10,-7398.402178723078,-7398.0800546841565,-7395.894749978097,-7397.964506287525
sub11,-6927.340106091084,-6927.074625072028,-6925.6821439204905,-6926.951853682969
sub12,-7093.274031072953,-7091.696262070818,-7095.019696573934,-7093.7309328328565
sub17,-6629.529320318116,-6629.207987660676,-6628.790031999514,-6626.8858843141825
sub18,-7256.350112817367,-7256.306049835451,-7256.364529516756,-7256.061691159191
sub19,-6902.06802305935,-6900.991256001537,-6901.573796351059,-6901.007925306677
sub20,-7215.525890216103,-7214.9677128735975,-7215.246583939689,-7214.950818339042
sub41,-7363.724371452727,-7363.422527030323,-7362.229495057086,-7363.594774154529
sub42,-7182.524293218579,-7181.858330514941,-7182.206282895875,-7181.8151967508265
sub43,-7045.568509357281,-7044.707733302896,-7045.3494743538595,-7044.527278457803
sub44,-7447.037493675441,-7446.1202170186425,-7445.801486676749,-7445.112721004168
sub45,-6846.8983698340035,-6846.739960150824,-6846.236429383493,-6846.468823308172
sub46,-7610.686314797989,-7610.1208962100745,-7609.5607193485375,-7610.458048971848
sub47,-7009.0157549704745,-7008.350216899512,-7008.4908616692,-7008.435538597733
sub48,-7474.88783536863,-7474.661518170146,-7474.832503135684,-7474.366121964466
sub05,-7104.681916416442,-7104.582906755683,-7103.820563009464,-7103.106251925014
sub06,-6891.210082421783,-6890.850566104064,-6890.961549794342,-6887.028135758896
sub07,-7509.749611965081,-7508.7008421149085,-7509.381952375688,-7508.372884728409
sub08,-7079.201494323451,-7079.126527143719,-7079.35948761672,-7076.494811755522
sub21,-6919.297221220906,-6919.071329367876,-6918.322217722831,-6918.720124711492
sub22,-7231.377405859045,-7231.147353848525,-7231.3744721918165,-7230.887877387669
sub23,-6599.465577724962,-6599.46557777444,-6599.465577735367,-6599.400311248302
sub24,-6822.298313422012,-6821.872694263141,-6822.298975393903,-6821.1987704144385
sub25,-6719.0081397525855,-6718.891438858986,-6718.985833559302,-6718.797711325755
sub26,-7555.433358838914,-7554.591591921826,-7555.403502493435,-7554.166057718066
sub27,-7576.537015497453,-7576.39295255904,-7576.9948010231055,-7575.201571301123
sub28,-7120.7485388629175,-7120.668462199077,-7120.596898150478,-7120.4541268636385
sub29,-6305.505914962476,-6304.9159000916825,-6304.219561994411,-6304.896693122975
sub30,-7086.996732042365,-7085.44502605188,-7087.312018340334,-7085.410190797197
sub31,-7230.029072930612,-7229.63672442021,-7229.847761574283,-7229.572093275952
sub32,-6944.1478120315805,-6944.080057652184,-6943.004459226043,-6943.0555136549365
