subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,-6780.151371834886,-6758.08173326025,-6757.640385183066,-6756.688441860168,-6756.615449940478
sub02,-6955.908286174134,-6933.728803171262,-6933.728803164566,-6933.728803159997,-6933.067010298228
sub04,-7322.422608088741,-7322.422624939165,-7322.421113122148,-7321.310577008709,-7321.321553290027
sub13,-7310.574359499302,-7293.0812876424925,-7293.0051672396385,-7292.356800541418,-7291.938418336899
sub14,-7327.510492483933,-7319.488485531457,-7318.77859301173,-7316.825385182762,-7312.792664104993
sub15,-7675.616761649966,-7657.1485141828025,-7657.14848552455,-7657.147846653241,-7656.45831669034
sub16,-7547.875149721496,-7527.707558793807,-7517.77939207865,-7527.549187058233,-7519.072500190147
sub33,-7429.494835754312,-7407.9770650824785,-7406.507294839152,-7407.483400554947,-7405.881255286717
sub34,-7386.782191067413,-7380.898210490386,-7379.53006449802,-7380.898210490395,-7379.510359096745
sub35,-7507.6353669744485,-7484.810683379054,-7482.733885178167,-7483.856710187477,-7480.140866058727
sub36,-8374.895665690403,-8349.431098215642,-8348.097664468654,-8348.343916259952,-8346.734542822647
sub37,-7535.657614572222,-7512.1317534777445,-7511.47775454152,-7511.754258291603,-7511.325450862902
sub38,-7245.0708449938475,-7235.825751485828,-7235.446564833721,-7235.136385398123,-7242.920976216477
sub39,-7403.028389019738,-7319.685520241366,-7306.5910540326595,-7318.837877769439,-7306.57120126677
sub40,-7176.479041552708,-7168.296877428536,-7166.0449051790965,-7167.401185590081,-7166.044905165189
sub09,-7228.669511032443,-7193.983571746117,-7191.115704860677,-7193.505754676824,-7189.648103989525
sub10,-7446.36925358901,-7434.798695595096,-7434.057643460588,-7434.453702818579,-7434.960780872877
sub11,-7798.031554811256,-7782.844204941121,-7782.525752418957,-7782.831854294628,-7782.645338947898
sub12,-7394.982862454907,-7389.489988010776,-7398.292413343953,-7389.489988070672,-7384.878787995156
sub17,-6875.021604792005,-6863.816874954381,-6862.3122226018795,-6863.1903519366615,-6862.53953099268
sub18,-7956.4050828127965,-7953.362642208949,-7951.381745962782,-7953.369985385975,-7951.381745726471
sub19,-7753.822274268852,-7748.722082527169,-7748.6906536222905,-7747.794934305037,-7748.52948427756
sub20,-7526.827410035163,-7500.543739929247,-7499.204631012698,-7500.5066292086085,-7500.0475934289525
sub41,-7467.7072977577145,-7438.517228751118,-7437.51860206597,-7435.018410885221,-7434.907788937953
sub42,-7675.089130824933,-7675.371584363911,-7675.334226537615,-7675.292842809915,-7674.731755883637
sub43,-8002.617433601072,-8001.210500557168,-7999.525243358368,-8000.830690647037,-7999.4902954058825
sub44,-7600.9423746748635,-7594.9614037472165,-7594.681528576943,-7594.810931702163,-7593.8031388039035
sub45,-7139.717844605101,-7108.016680831545,-7107.924984621073,-7105.922659309206,-7104.989792813336
sub46,-7783.531515333768,-7779.187691098738,-7778.92201356102,-7779.043062183498,-7778.934520613983
sub47,-7340.4047727616435,-7314.446147862799,-7314.269399295071,-7314.449831471051,-7313.886784548142
sub48,-7651.829878433759,-7630.638493343997,-7630.382922478198,-7628.618201160772,-7630.382922476305
sub05,-7210.629735961072,-7210.492431366377,-7210.48175459925,-7194.861679305443,-7193.7146418430175
sub06,-6951.704995840628,-6929.842732814997,-6929.5146471672115,-6929.811799385247,-6929.441351633799
sub07,-7819.179630765686,-7818.962523074456,-7818.340673764323,-7821.962056731443,-7824.15238961576
sub08,-8031.5335145449535,-8031.155611637272,-8031.120951343586,-8028.084706256613,-8031.062322964925
sub21,-7065.624538637155,-7055.05959791788,-7054.406090438288,-7053.588820105822,-7055.057189565529
sub22,-7394.745352702996,-7392.189661538858,-7391.966238121314,-7391.525820275268,-7393.069770044626
sub23,-6842.751945490359,-6828.444616357105,-6822.262923183643,-6828.318710768636,-6823.4748933065075
sub24,-7205.074740078538,-7201.8106133502915,-7198.9367222541905,-7201.101253297942,-7197.484440312028
sub25,-6943.178342021911,-6939.18489443945,-6938.247364320418,-6939.184894439465,-6938.24594084814
sub26,-7748.810643179691,-7717.116775007887,-7715.713125139003,-7717.030749836357,-7716.164142121763
sub27,-7693.135462871856,-7655.433394115513,-7655.386072240959,-7650.226063084918,-7653.001300989501
sub28,-7349.0031872313675,-7342.893649448356,-7342.792858840845,-7340.210286486304,-7341.839176315347
sub29,-6373.9250838987255,-6354.4795611953305,-6353.180280635656,-6353.982055667504,-6351.8545327551465
sub30,-7542.680102019662,-7537.068452712196,-7536.803037718284,-7536.571662352075,-7536.388271904168
sub31,-7283.951208782292,-7270.753986262438,-7270.73342779381,-7270.708870838728,-7270.514798642195
sub32,-7035.291615755407,-7016.14286085164,-7016.042431927694,-7015.32443382173,-7015.736128849595
