subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_1,10613.955504579517,10596.483466633872,10600.097974096529,10604.864012556118,10609.694571008571
sub_2,10620.411594040075,10492.045909883334,10493.57871630645,10498.453114779872,10502.477414104716
sub_3,10402.883610299054,10400.637546627077,10406.781780876867,10408.167915584434,10412.503376140108
sub_4,10424.452210732616,10430.379597178307,10433.215302894076,10437.905276523685,10441.082238964698
sub_5,11916.908854432646,11923.744439726155,11924.868834676001,11935.725284648215,11937.407997928276
sub_6,7357.160209625929,7363.388276180373,7370.670800342963,7375.9226772738675,7383.326453147559
sub_7,10806.18409046141,10793.119672213044,10799.300012117232,10790.163565753248,10797.844827146502
sub_8,10570.501307879771,10577.224387509952,10581.577132974837,10582.082530416375,10590.332569533763
sub_9,10359.61769682685,10335.325096947714,10341.277754954235,10345.005297856726,10349.990825141955
sub_10,11584.463122738282,11589.81922548172,11596.556573658645,11593.652572053972,11601.275808910152
sub_11,11189.384268547341,11187.152384292249,11193.86902124145,11195.249284382144,11202.224812395674
sub_12,11863.856648041705,11869.96294163254,11875.41882343384,11880.832512747713,11886.8940669534
sub_13,12183.029467314129,12188.755477499726,12190.367192680842,12194.648790923242,12200.809165588596
sub_14,10442.922336107105,10449.757211198346,10455.4255821582,10452.10646573468,10461.276365832913
sub_15,10969.000233855148,10948.459775132242,10954.185564179179,10950.288526912851,10955.806880065622
sub_16,11266.472292958037,11272.5225440746,11278.957707799942,11277.882644719844,11285.30852447288
sub_17,11149.167110385735,11155.990689301849,11160.701129721016,11162.787348291104,11168.3617966249
sub_18,9925.811826643743,9932.642706609664,9939.50232151332,9941.05207137519,9948.975811021497
